"filename", "language", "JSON", "PHP", "JavaScript", "HTML", "CSS", "Markdown", "C#", "XML", "Shell Script", "comment", "blank", "total"
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\comment\comment.js", "JavaScript", 0, 0, 183, 0, 0, 0, 0, 0, 0, 8, 21, 212
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\comment\continuecomment.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 0, 0, 11, 7, 115
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\dialog\dialog.css", "CSS", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\dialog\dialog.js", "JavaScript", 0, 0, 131, 0, 0, 0, 0, 0, 0, 11, 22, 164
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\display\autorefresh.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 2, 5, 48
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\display\fullscreen.css", "CSS", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\display\fullscreen.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 2, 5, 42
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\display\panel.js", "JavaScript", 0, 0, 113, 0, 0, 0, 0, 0, 0, 4, 17, 134
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\display\placeholder.js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 2, 8, 79
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\display\rulers.js", "JavaScript", 0, 0, 46, 0, 0, 0, 0, 0, 0, 2, 4, 52
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\edit\closebrackets.js", "JavaScript", 0, 0, 177, 0, 0, 0, 0, 0, 0, 2, 23, 202
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\edit\closetag.js", "JavaScript", 0, 0, 134, 0, 0, 0, 0, 0, 0, 37, 15, 186
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\edit\continuelist.js", "JavaScript", 0, 0, 82, 0, 0, 0, 0, 0, 0, 7, 13, 102
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\edit\matchbrackets.js", "JavaScript", 0, 0, 127, 0, 0, 0, 0, 0, 0, 17, 17, 161
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\edit\matchtags.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 2, 7, 67
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\edit\trailingspace.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 2, 28
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\fold\brace-fold.js", "JavaScript", 0, 0, 103, 0, 0, 0, 0, 0, 0, 3, 14, 120
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\fold\comment-fold.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 2, 6, 60
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\fold\foldcode.js", "JavaScript", 0, 0, 136, 0, 0, 0, 0, 0, 0, 4, 20, 160
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\fold\foldgutter.css", "CSS", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\fold\foldgutter.js", "JavaScript", 0, 0, 150, 0, 0, 0, 0, 0, 0, 4, 16, 170
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\fold\indent-fold.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 8, 6, 49
